,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
531,2023-06-30,000906,中证800,CSI 800,002709,天赐材料,"Guangzhou Tinci Materials Technology Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.185
532,2023-06-30,000906,中证800,CSI 800,002714,牧原股份,"Muyuan Foodstuff Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.449
533,2023-06-30,000906,中证800,CSI 800,601225,陕西煤业,Shaanxi Coal Industry Company Limited,上海证券交易所,Shanghai Stock Exchange,0.275
534,2023-06-30,000906,中证800,CSI 800,300363,博腾股份,Porton Fine Chemicals Ltd.,深圳证券交易所,Shenzhen Stock Exchange,0.038
535,2023-06-30,000906,中证800,CSI 800,300383,光环新网,"Beijing Sinnet Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.06
536,2023-06-30,000906,中证800,CSI 800,603288,海天味业,Foshan Haitian Flavouring and Food Company Ltd.,上海证券交易所,Shanghai Stock Exchange,0.304
537,2023-06-30,000906,中证800,CSI 800,603369,今世缘,"Jiangsu King's Luck Brewery Joint-Stock Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.129
538,2023-06-30,000906,中证800,CSI 800,300390,天华新能,"Canmax Technologies Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.082
539,2023-06-30,000906,中证800,CSI 800,603806,福斯特,"HANGZHOU FIRST PV MATERIAL Co., LTD.",上海证券交易所,Shanghai Stock Exchange,0.108
540,2023-06-30,000906,中证800,CSI 800,300395,菲利华,HUBEI FEILIHUA QUARTZ GLASS CO.LTD,深圳证券交易所,Shenzhen Stock Exchange,0.079
541,2023-06-30,000906,中证800,CSI 800,601016,节能风电,CECEP Wind-Power Corporation,上海证券交易所,Shanghai Stock Exchange,0.056
542,2023-06-30,000906,中证800,CSI 800,603456,九洲药业,"Zhejiang Jiuzhou Pharmaceutical Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.048
543,2023-06-30,000906,中证800,CSI 800,603688,石英股份,"JIANGSU PACIFIC QUARTZ CO., LTD",上海证券交易所,Shanghai Stock Exchange,0.08
544,2023-06-30,000906,中证800,CSI 800,603019,中科曙光,"Dawning Information Industry Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.232
545,2023-06-30,000906,中证800,CSI 800,300408,三环集团,"CHAOZHOU THREE-CIRCLE(GROUP)CO.,LTD",深圳证券交易所,Shenzhen Stock Exchange,0.153
546,2023-06-30,000906,中证800,CSI 800,601969,海南矿业,"Hainan Mining Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.016
547,2023-06-30,000906,中证800,CSI 800,002736,国信证券,"GUOSEN SECURITIES CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.098
548,2023-06-30,000906,中证800,CSI 800,002738,中矿资源,"Sinomine Resource Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.113
549,2023-06-30,000906,中证800,CSI 800,300413,芒果超媒,"Mango Excellent Media Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.1
550,2023-06-30,000906,中证800,CSI 800,300418,昆仑万维,"Beijing Kunlun Tech Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.131
551,2023-06-30,000906,中证800,CSI 800,601021,春秋航空,"Spring Airlines Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.088
552,2023-06-30,000906,中证800,CSI 800,002739,万达电影,"WANDA FILM HOLDING CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,0.064
553,2023-06-30,000906,中证800,CSI 800,000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,0.162
554,2023-06-30,000906,中证800,CSI 800,603899,晨光股份,SHANGHAI M&G STATIONERY INC.,上海证券交易所,Shanghai Stock Exchange,0.064
555,2023-06-30,000906,中证800,CSI 800,603799,华友钴业,"ZHEJIANG HUAYOU COBALT CO., LTD.",上海证券交易所,Shanghai Stock Exchange,0.229
556,2023-06-30,000906,中证800,CSI 800,002745,木林森,"MLS Co.,LTD.",深圳证券交易所,Shenzhen Stock Exchange,0.032
557,2023-06-30,000906,中证800,CSI 800,603939,益丰药房,"Yifeng Pharmacy Chain Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.073
558,2023-06-30,000906,中证800,CSI 800,601198,东兴证券,"DONGXING SECURITIES CO., LTD.",上海证券交易所,Shanghai Stock Exchange,0.061
559,2023-06-30,000906,中证800,CSI 800,300433,蓝思科技,"Lens Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.091
560,2023-06-30,000906,中证800,CSI 800,601689,拓普集团,"Ningbo Tuopu Group Co., Ltd.",上海证券交易所,Shanghai Stock Exchange,0.138
561,2023-06-30,000906,中证800,CSI 800,600958,东方证券,ORIENT SECURITIES COMPANY LIMITED,上海证券交易所,Shanghai Stock Exchange,0.197
562,2023-06-30,000906,中证800,CSI 800,603338,浙江鼎力,"Zhejiang Dingli Machinery Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange,0.055
